geo_event_id,name,lat,lng,address,notification_type,is_active,date_created,first_seen,last_seen,ros_value,last_acreage,first_radio_traffic_indicates_rate_of_spread,first_radio_traffic_indicates_structure_threat,first_radio_traffic_indicates_spotting,first_data.evacuation_orders,first_data.evacuation_warnings,first_data.evacuation_advisories,first_notification_type,first_data.acreage,alert_lag_mins,warning_to_order_mins,ros_to_evac_mins,had_evac_order,had_evac_warning,had_structure_threat,had_ros_report,ros_severity
76,Todd Fire,38.3861004,-122.7692991,"Llano Rd & Todd Rd, Santa Rosa,  California 95407, USA",normal,0,2021-08-11 00:09:56.481066,,,,,,,,,,,,,,,,,,,,
77,Vegetation Fire,38.4599666,-122.7289275,"Guerneville Rd & W Steele Ln, Santa Rosa, CA 95403, USA",normal,0,2021-08-11 07:21:46.054995,,,,,,,,,,,,,,,,,,,,
78,Ford Fire,38.3183278,-122.9256977,"CA-1 & Valley Ford Estero Rd, Valley Ford, CA 94952, USA",normal,0,2021-08-11 21:02:16.301416,,,,,,,,,,,,,,,,,,,,
79,Vegetation Fire,38.4799878,-122.9941556,"19428 Redwood Dr, Monte Rio, CA 95462, USA",normal,0,2021-08-12 01:46:31.043052,,,,,,,,,,,,,,,,,,,,
80,Shoreline Fire,38.3152225,-122.2765319,"Shoreline Dr, Napa, CA 94558, USA",normal,0,2021-08-12 02:40:30.939331,,,,,,,,,,,,,,,,,,,,
81,Vegetation Fire,38.1649245,-122.2518293,"210 American Canyon Rd, American Canyon, CA 94503, USA",normal,0,2021-08-12 04:47:30.770401,,,,,,,,,,,,,,,,,,,,
82,Vegetation Fire,38.27828530000001,-122.2737269,"CA-221 & Magnolia Dr, Napa, CA 94559, USA",normal,0,2021-08-12 07:54:31.860561,,,,,,,,,,,,,,,,,,,,
83,College Fire,38.27828530000001,-122.2737269,"CA-221 & Magnolia Dr, Napa, CA 94559, USA",normal,0,2021-08-12 07:55:31.247102,2021-08-12 08:07:12.323435+00:00,2021-08-12 08:07:12.323435+00:00,slow,,2021-08-12 08:07:12.323435+00:00,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0
84,Vegetation Fire,38.2740455,-122.2751567,"2277 Napa Vallejo Hwy, Napa, CA 94558, USA",normal,0,2021-08-12 08:02:31.697117,,,,,,,,,,,,,,,,,,,,
85,Cole Fire,38.97102617880285,-122.830367921304,Hwy 29 × Main St - Kelseyville,normal,0,2021-08-12 18:37:38.495287,,,,,,,,,,,,,,,,,,,,
86,Vegetation Fire,38.2492369,-122.6259043,"E Washington St & N McDowell Blvd, Petaluma, CA 94954, USA",normal,0,2021-08-13 02:20:16.701817,,,,,,,,,,,,,,,,,,,,
87,Vegetation Fire,38.6629256,-123.2279778,"Sewell Rd & Stewarts Point-Skaggs Springs Rd, California 95412, USA",normal,0,2021-08-13 11:55:03.780784,,,,,,,,,,,,,,,,,,,,
88,Middle Fire,38.249935,-122.7259122,"3643 Middle 2 Rock Rd, Petaluma, CA 94952, USA",normal,0,2021-08-13 19:06:17.853365,2021-08-13 19:18:23.648715+00:00,2021-08-13 19:41:51.366419+00:00,moderate,,2021-08-13 19:18:23.648715+00:00,,,,,,,,,,,0.0,0.0,0.0,1.0,2.0
89,Coyote Fire,38.829738512880176,-122.5849618060994,Hwy 29 North of Spruce Grove Rd South - Hidden Valley,normal,0,2021-08-14 00:12:19.423932,2021-08-14 00:25:21.551458+00:00,2021-08-14 01:32:51.390014+00:00,moderate,,2021-08-14 00:25:21.551458+00:00,2021-08-14 00:32:24.101663+00:00,2021-08-14 01:32:51.390014+00:00,,,,,,,,,0.0,0.0,1.0,1.0,2.0
90,Spain Fire,38.297892,-122.4630615,"300 W Spain St, Sonoma, CA 95476, USA",normal,0,2021-08-14 08:34:29.427012,2021-08-14 08:55:05.936617+00:00,2021-08-14 09:07:53.143452+00:00,slow,,2021-08-14 08:55:05.936617+00:00,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0
91,West Fire,38.405139,-122.9700785,"3170 Westwood Ln, Occidental, CA 95465, USA",normal,0,2021-08-14 20:08:59.903591,,,,,,,,,,,,,,,,,,,,
92,Vegetation Fire,38.5021205,-122.8979992,"Westside Rd, Forestville, CA, USA",normal,0,2021-08-15 02:15:44.822988,,,,,,,,,,,,,,,,,,,,
93,Vegetation Fire,38.2448041,-122.6428016,"205 W Payran St, Petaluma, CA 94952, USA",normal,0,2021-08-15 18:52:20.120955,,,,,,,,,,,,,,,,,,,,
94,Point Fire,38.6795299,-123.2855939,"27010 Stewarts Point-Skaggs Springs Rd, Annapolis, CA 95412, USA",normal,0,2021-08-15 21:43:19.987564,,,,,,,,,,,,,,,,,,,,
95,Deer Fire,38.804398989310656,-122.56809574291673,Spyglass Rd × Deer Hollow Rd - Hidden Valley,normal,0,2021-08-16 01:18:18.663830,2021-08-16 01:22:35.983958+00:00,2021-08-16 01:22:35.983958+00:00,slow,,2021-08-16 01:22:35.983958+00:00,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0
96,McGary Fire,38.2035622,-122.1556967,"I-80 x American Canyon Rd., American Canyon, California, USA",normal,0,2021-08-16 21:47:14.218306,,,,,,,,,,,,,,,,,,,,
97,Vegetation Fire,38.3973351,-122.7354906,"3223 Primrose Ave, Santa Rosa, CA 95407, USA",normal,0,2021-08-18 15:07:09.805003,,,,,,,,,,,,,,,,,,,,
98,Vegetation Fire,38.3973351,-122.7354906,"3223 Primrose Ave, Santa Rosa, CA 95407, USA",normal,0,2021-08-18 15:07:10.563424,,,,,,,,,,,,,,,,,,,,
