geo_event_id,name,lat,lng,address,notification_type,is_active,date_created,first_seen,last_seen,ros_value,last_acreage,first_radio_traffic_indicates_rate_of_spread,first_radio_traffic_indicates_structure_threat,first_radio_traffic_indicates_spotting,first_data.evacuation_orders,first_data.evacuation_warnings,first_data.evacuation_advisories,first_notification_type,first_data.acreage,alert_lag_mins,warning_to_order_mins,ros_to_evac_mins,had_evac_order,had_evac_warning,had_structure_threat,had_ros_report,ros_severity,first_seen_dt,year,county,rg_state,COUNTY,county_pop,n_tracts,rpl_themes,rpl_theme1,rpl_theme2,rpl_theme3,rpl_theme4,ep_limeng,ep_noveh,ep_age65,ep_disabl,ep_pov150,ep_noint
76,Todd Fire,38.3861004,-122.7692991,"Llano Rd & Todd Rd, Santa Rosa,  California 95407, USA",normal,0,2021-08-11 00:09:56.481066,,,,,,,,,,,,,,,,,,,,,,,Sonoma County,California,Sonoma County,488436.0,121.0,0.4068065631935402,0.378813962934755,0.46917498996797946,0.22733230638200297,0.5075786637348598,5.494702888402984,4.504252757781982,20.591348917770187,11.841006395924952,14.354550237902203,6.161935238188831
77,Vegetation Fire,38.4599666,-122.7289275,"Guerneville Rd & W Steele Ln, Santa Rosa, CA 95403, USA",normal,0,2021-08-11 07:21:46.054995,,,,,,,,,,,,,,,,,,,,,,,Sonoma County,California,Sonoma County,488436.0,121.0,0.4068065631935402,0.378813962934755,0.46917498996797946,0.22733230638200297,0.5075786637348598,5.494702888402984,4.504252757781982,20.591348917770187,11.841006395924952,14.354550237902203,6.161935238188831
78,Ford Fire,38.3183278,-122.9256977,"CA-1 & Valley Ford Estero Rd, Valley Ford, CA 94952, USA",normal,0,2021-08-11 21:02:16.301416,,,,,,,,,,,,,,,,,,,,,,,Sonoma County,California,Sonoma County,488436.0,121.0,0.4068065631935402,0.378813962934755,0.46917498996797946,0.22733230638200297,0.5075786637348598,5.494702888402984,4.504252757781982,20.591348917770187,11.841006395924952,14.354550237902203,6.161935238188831
79,Vegetation Fire,38.4799878,-122.9941556,"19428 Redwood Dr, Monte Rio, CA 95462, USA",normal,0,2021-08-12 01:46:31.043052,,,,,,,,,,,,,,,,,,,,,,,Sonoma County,California,Sonoma County,488436.0,121.0,0.4068065631935402,0.378813962934755,0.46917498996797946,0.22733230638200297,0.5075786637348598,5.494702888402984,4.504252757781982,20.591348917770187,11.841006395924952,14.354550237902203,6.161935238188831
80,Shoreline Fire,38.3152225,-122.2765319,"Shoreline Dr, Napa, CA 94558, USA",normal,0,2021-08-12 02:40:30.939331,,,,,,,,,,,,,,,,,,,,,,,Napa County,California,Napa County,137384.0,40.0,0.4787734830839108,0.42848063602748504,0.5557431782449195,0.33772370290572407,0.5426708896232457,7.534514936237116,4.850905491178012,20.217116258079546,12.312958568683399,14.233137046526522,7.060859343154953
81,Vegetation Fire,38.1649245,-122.2518293,"210 American Canyon Rd, American Canyon, CA 94503, USA",normal,0,2021-08-12 04:47:30.770401,,,,,,,,,,,,,,,,,,,,,,,Napa County,California,Napa County,137384.0,40.0,0.4787734830839108,0.42848063602748504,0.5557431782449195,0.33772370290572407,0.5426708896232457,7.534514936237116,4.850905491178012,20.217116258079546,12.312958568683399,14.233137046526522,7.060859343154953
82,Vegetation Fire,38.27828530000001,-122.2737269,"CA-221 & Magnolia Dr, Napa, CA 94559, USA",normal,0,2021-08-12 07:54:31.860561,,,,,,,,,,,,,,,,,,,,,,,Napa County,California,Napa County,137384.0,40.0,0.4787734830839108,0.42848063602748504,0.5557431782449195,0.33772370290572407,0.5426708896232457,7.534514936237116,4.850905491178012,20.217116258079546,12.312958568683399,14.233137046526522,7.060859343154953
83,College Fire,38.27828530000001,-122.2737269,"CA-221 & Magnolia Dr, Napa, CA 94559, USA",normal,0,2021-08-12 07:55:31.247102,2021-08-12 08:07:12.323435+00:00,2021-08-12 08:07:12.323435+00:00,slow,,2021-08-12 08:07:12.323435+00:00,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,2021-08-12 08:07:12.323435+00:00,2021.0,Napa County,California,Napa County,137384.0,40.0,0.4787734830839108,0.42848063602748504,0.5557431782449195,0.33772370290572407,0.5426708896232457,7.534514936237116,4.850905491178012,20.217116258079546,12.312958568683399,14.233137046526522,7.060859343154953
84,Vegetation Fire,38.2740455,-122.2751567,"2277 Napa Vallejo Hwy, Napa, CA 94558, USA",normal,0,2021-08-12 08:02:31.697117,,,,,,,,,,,,,,,,,,,,,,,Napa County,California,Napa County,137384.0,40.0,0.4787734830839108,0.42848063602748504,0.5557431782449195,0.33772370290572407,0.5426708896232457,7.534514936237116,4.850905491178012,20.217116258079546,12.312958568683399,14.233137046526522,7.060859343154953
85,Cole Fire,38.97102617880285,-122.830367921304,Hwy 29 × Main St - Kelseyville,normal,0,2021-08-12 18:37:38.495287,,,,,,,,,,,,,,,,,,,,,,,Lake County,California,Lake County,68024.0,21.0,0.6038523697518522,0.6348944490179936,0.7011487004586615,0.1741360064095025,0.564531904915912,3.138781900505704,5.401201046689404,23.23780724450194,19.80398094790074,28.478378219451958,16.1476890509232
